ID,SMILES,parent_name
96,O1C=C2C=CN=CC2=N1,"[1,2]oxazolo[3,4-c]pyridine"
97,N1N=NC2=C1C=CN=C2,"1H-[1,2,3]triazolo[4,5-c]pyridine"
98,N1N=NC2=C1C=NC=C2,"3H-[1,2,3]Triazolo[4,5-c]pyridine"
99,N1N=NC2=C1C=CC=N2,"1H-[1,2,3]triazolo[4,5-b]pyridine"
100,N1N=NC2=CC=CN=C12,"1H-[1,2,3]Triazolo[4,5-b]pyridine"
101,N1C=NC2=C1N=CN=C2,Purine
102,N1C=NC2=C1N=CC=N2,"1H-Imidazo[4,5-b]pyrazine"
103,N1C=NC2=NC=NC=C12,Purine
104,N1C=NC2=CN=NC=C12,"1H-imidazo[4,5-d]pyridazine"
105,N1C=NC2=CC=NN=C12,"7H-imidazo[4,5-c]pyridazine"
106,N1C=NC2=NN=CC=C12,"5H-imidazo[4,5-c]pyridazine"
107,N1N=CC2=C1N=CN=C2,"1H-Pyrazolo[3,4-d]pyrimidine"
108,N1N=CC2=NC=CN=C12,"1H-pyrazolo[3,4-b]pyrazine"
109,N1N=CC2=NC=NC=C12,"1H-pyrazolo[4,3-d]pyrimidine"
110,N1N=CC2=CC=NN=C12,"1H-pyrazolo[3,4-c]pyridazine"
111,N1N=CC2=CN=NC=C12,"1H-Pyrazolo[3,4-d]pyridazine"
112,N1N=C2C=CC=NC2=N1,"2H-[1,2,3]Triazolo[4,5-b]pyridine"
113,N1C=C2C=NC=NC2=N1,"2H-Pyrazolo[3,4-d]pyrimidine"
114,N1C=C2N=CC=NC2=N1,"2H-Pyrazolo[3,4-b]pyrazine"
115,N1N=C2C=CN=CC2=N1,"2H-[1,2,3]triazolo[4,5-c]pyridine"
116,N1N=CC2=NN=CC=C12,"1H-pyrazolo[4,3-c]pyridazine"
117,N1C=C2N=CN=CC2=N1,N-[2-(2-methoxyphenyl)ethyl]-N'-{3-[(1-methyl-1H-imidazol-2-yl)carbonyl]phenyl}ethanediamide
118,N1C=CC2=NN=CN=C12,"5H-pyrrolo[2,3-e][1,2,4]triazine"
119,O1N=NC2=CN=CC=C12,"[1,2,3]oxadiazolo[4,5-c]pyridine"
120,O1N=NC2=CC=CN=C12,"[1,2,3]oxadiazolo[5,4-b]pyridine"
121,O1C=NC2=CN=CN=C12,"Oxazolo[5,4-d]pyrimidine"
122,O1C=C2C=NC=NC2=N1,"[1,2]oxazolo[3,4-d]pyrimidine"
123,O1C=NC2=NC=NC=C12,"[1,3]oxazolo[4,5-d]pyrimidine"
124,O1N=C2C=CN=CC2=N1,"[1,2,5]oxadiazolo[3,4-c]pyridine"
125,O1N=CC2=CN=CN=C12,"[1,2]oxazolo[5,4-d]pyrimidine"
126,O1N=CC2=NC=NC=C12,"[1,2]oxazolo[4,5-d]pyrimidine"
127,O1C=C2N=CN=CC2=N1,N-(2-((2-Hydroxyethyl)amino)-2-oxoethyl)-3-methylbenzamide
128,O1N=C2C=CC=NC2=N1,"[1,2,5]oxadiazolo[3,4-b]pyridine"
129,N1N=NC2=CN=NC=C12,"1H-[1,2,3]triazolo[4,5-d]pyridazine"
130,N1N=NC2=NC=NC=C12,"1H-[1,2,3]triazolo[4,5-d]pyrimidine"
131,N1N=NC2=CN=CN=C12,"3H-[1,2,3]triazolo[4,5-d]pyrimidine"
132,N1N=NC2=CC=NN=C12,"3H-[1,2,3]triazolo[4,5-c]pyridazine"
133,N1N=C2N=CC=NC2=N1,"2H-[1,2,3]triazolo[4,5-b]pyrazine"
134,N1N=C2C=NC=NC2=N1,"2H-[1,2,3]triazolo[4,5-d]pyrimidine"
135,N1C=NC2=CN=NN=C12,"7H-imidazo[4,5-d][1,2,3]triazine"
136,N1N=CC2=C1N=NC=N2,"1-[3-(4-chlorophenyl)-1H-pyrazole-5-carbonyl]-4-(2,4-dimethylbenzenesulfonyl)piperazine"
137,O1N=C2C=NC=NC2=N1,"[1,2,5]oxadiazolo[3,4-d]pyrimidine"
138,O1N=NC2=CN=CN=C12,"[1,2,3]Oxadiazolo[5,4-d]pyrimidine (8ci,9CI)"
139,O1N=NC2=NC=NC=C12,"[1,2,3]oxadiazolo[4,5-d]pyrimidine"
140,S1C=C2C=CC=CC2=C1,Benzo[c]thiophene
141,S1C=CC2=C1C=CC=C2,Thianaphthene
142,S1C=CC2=C1C=CC=N2,"Thieno[3,2-b]pyridine"
143,S1C=NC2=C1C=CC=C2,Benzothiazole
144,S1N=CC2=CC=CC=C12,Benzo[d]isothiazole
145,S1C=C2C=CC=CC2=N1,"2,1-benzisothiazole"
146,S1C=CC2=C1C=CN=C2,"thieno[3,2-c]pyridine"
147,S1C=CC2=C1C=NC=C2,"Thieno[2,3-c]pyridine"
148,S1C=CC2=C1N=CC=C2,"thieno[2,3-b]pyridine"
149,S1C=C2C=CC=NC2=C1,"thieno[3,4-b]pyridine"
